tweet_id,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url
671542985629241344,1019,521,8942723,18,Twitter for iPhone,Original tweet,https://t.co/zzueJV9jCF
671538301157904385,871,353,8942723,18,Twitter for iPhone,Original tweet,https://t.co/fUuiyu2QTD
671536543010570240,1101,372,8942723,18,Twitter for iPhone,Original tweet,https://t.co/1U5Ro5FA4c
671533943490011136,950,534,8942723,18,Twitter for iPhone,Original tweet,https://t.co/pcx8jm1J1K
671528761649688577,783,236,8942723,18,Twitter for iPhone,Original tweet,https://t.co/HwiLcDPaCi
671520732782923777,1304,488,8942723,18,Twitter for iPhone,Original tweet,https://t.co/C7dPcCUNpF
671518598289059840,883,272,8942723,18,Twitter for iPhone,Original tweet,https://t.co/nLQoltwEZ7
671511350426865664,1486,648,8942723,18,Twitter for iPhone,Original tweet,https://t.co/OgDF2ES3Q9
671504605491109889,6515,3301,8942723,18,Twitter for iPhone,Original tweet,https://t.co/mGW5c50mPA
671497587707535361,862,417,8942723,18,Twitter for iPhone,Original tweet,https://t.co/EY1uZJUGYJ
671488513339211776,938,441,8942723,18,Twitter for iPhone,Original tweet,https://t.co/CwUK5AIgeD
671486386088865792,541,181,8942723,18,Twitter for iPhone,Original tweet,https://t.co/ympkwF65Dx
671485057807351808,714,214,8942723,18,Twitter for iPhone,Original tweet,https://t.co/CqcRagJlyS
671390180817915904,1343,689,8942723,18,Twitter for iPhone,Original tweet,https://t.co/U1mSS3Ykez
671362598324076544,1038,273,8942723,18,Twitter for iPhone,Original tweet,https://t.co/onC3uMpFF2
671357843010908160,373,144,8942723,18,Twitter for iPhone,Original tweet,https://t.co/lS1TIDagIb
671355857343524864,453,112,8942723,18,Twitter for iPhone,Original tweet,https://t.co/FoCULrC3rD
671347597085433856,883,392,8942723,18,Twitter for iPhone,Original tweet,https://t.co/svlkUlg3NH
671186162933985280,680,191,8942723,18,Twitter for iPhone,Original tweet,https://t.co/96tMaWyoWt
671182547775299584,1041,310,8942723,18,Twitter for iPhone,Original tweet,https://t.co/F7xwE0wmnu
